iter	Passed	Remaining
0	1	155
1	3	148
2	4	143
3	5	139
4	7	139
5	8	137
6	10	136
7	11	134
8	13	133
9	14	131
10	16	130
11	17	128
12	18	126
13	20	124
14	21	122
15	23	120
16	24	119
17	25	117
18	27	116
19	28	114
20	30	113
21	31	112
22	33	112
23	35	113
24	37	112
25	39	111
26	40	110
27	42	108
28	43	107
29	45	106
30	47	104
31	49	104
32	50	103
33	52	101
34	54	101
35	56	100
36	58	99
37	60	99
38	62	97
39	64	96
40	65	94
41	66	91
42	68	90
43	70	89
44	72	88
45	73	86
46	75	84
47	76	82
48	78	81
49	79	79
50	81	78
51	83	76
52	84	75
53	86	73
54	87	71
55	88	69
56	90	68
57	92	66
58	94	65
59	96	64
60	98	62
61	100	61
62	105	62
63	108	60
64	109	58
65	110	57
66	112	55
67	113	53
68	115	51
69	116	50
70	118	48
71	119	46
72	121	44
73	122	43
74	124	41
75	125	39
76	127	38
77	128	36
78	130	34
79	131	32
80	133	31
81	134	29
82	137	28
83	138	26
84	140	24
85	141	23
86	143	21
87	144	19
88	145	18
89	147	16
90	149	14
91	150	13
92	152	11
93	154	9
94	155	8
95	157	6
96	158	4
97	160	3
98	161	1
99	163	0
